,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1
Alaska,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.3
Arizona,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6
Arkansas,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
California,12.5,12.7,12.9,13.3,13.1,13.1,13.3,13.4,13.5,13.6,13.5,13.5,13.3,13.2,13.2,13.2,13.5,13.7
Colorado,1.6,1.7,1.7,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Connecticut,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.4
Delaware,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
District of Columbia,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Florida,4.7,4.7,4.8,4.8,4.9,5,5.1,5.2,5.3,5.4,5.3,5.1,5,4.9,4.8,4.7,4.8,4.8
Georgia,2.8,2.9,3,3,3,3,3,3,3,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.8
Hawaii,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
Idaho,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Illinois,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.5,4.4,4.5,4.4,4.4,4.4,4.4,4.4
Indiana,2,2,2,2,1.9,1.9,2,1.9,1.9,1.8,1.9,1.9,1.8,1.9,1.9,1.8,1.8,1.9
Iowa,1,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1
Kansas,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8
Kentucky,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Louisiana,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.5,1.5,1.4,1.5,1.4,1.5,1.5,1.4,1.4,1.4
Maine,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Maryland,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2,2
Massachusetts,2.8,2.7,2.7,2.8,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7
Michigan,3.5,3.4,3.5,3.4,3.3,3.3,3.3,3.1,3,2.9,2.8,2.6,2.5,2.6,2.6,2.6,2.6,2.6
Minnesota,1.8,1.8,1.8,1.9,1.8,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Mississippi,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6
Missouri,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6
Montana,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3
Nebraska,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Nevada,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8
New Hampshire,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
New Jersey,3.6,3.5,3.5,3.5,3.5,3.6,3.5,3.5,3.4,3.4,3.3,3.4,3.4,3.3,3.2,3.2,3.2,3.1
