,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1997,14683.35,608.846,4320.281,2524.007,32217.708,12011.509,3268.514,735.024,14683.35,7486.094,1189.322,1210.638,12011.509,5872.37,2854.396,2616.339,3907.816,4351.39,1245.215,5092.914,6115.476,9785.45,4687.726,2731.826,5407.113,878.706,1656.042,4552.207,1173.239,5407.113,1722.939,18143.184,8054.178,640.945,5200.235,3314.259,11212.498,3891.293,986.966,3790.066,730.855,5378.433,19355.427,12015.888,588.665,6732.878,5604.105,1815.588,5200.235,480.031
1998,14908.23,615.205,4351.037,2538.202,32682.794,12069.774,3272.563,744.066,14908.23,7636.522,1190.472,1230.923,12069.774,5907.617,2861.025,2638.667,3934.31,4362.758,1247.554,5130.072,6144.407,9820.231,4726.411,2751.335,5437.562,879.533,1660.772,4667.277,1185.823,5437.562,1733.535,18159.175,8095.542,637.808,5222.124,3339.478,11237.752,3968.967,987.704,3839.578,730.789,5432.679,19712.389,12002.329,590.579,6789.225,5687.832,1811.688,5222.124,480.045
1999,15111.244,619.5,4369.862,2551.373,33145.121,12128.37,3282.031,753.538,15111.244,7788.24,1185.497,1251.7,12128.37,5942.901,2869.413,2654.052,3960.825,4372.035,1253.04,5171.634,6175.169,9863.775,4775.508,2768.619,5468.338,882.779,1666.028,4778.332,1201.134,5468.338,1739.844,18196.601,8143.412,633.666,5250.446,3358.044,11256.654,4056.133,990.819,3885.736,733.133,5483.535,20044.141,11994.016,593.74,6872.912,5756.361,1806.928,5250.446,479.602
2000,16047.515,627.963,4452.173,2678.588,33987.977,12434.161,3411.777,786.373,16047.515,8227.303,1213.519,1299.43,12434.161,6091.866,2929.067,2693.681,4049.021,4471.885,1277.072,5311.034,6361.104,9952.45,4933.692,2848.353,5607.285,903.773,1713.82,5160.586,1239.882,5607.285,1821.204,19001.78,8430.621,642.023,5373.999,3454.365,11363.543,4326.921,1050.268,4024.223,755.844,5703.719,20944.499,12284.173,609.618,7105.817,5910.512,1807.021,5373.999,494.3
2001,16356.966,633.714,4467.634,2691.571,34479.458,12488.445,3432.835,795.699,16356.966,8377.038,1225.948,1319.962,12488.445,6127.76,2931.997,2702.162,4068.132,4477.875,1285.692,5374.691,6397.634,9991.12,4982.796,2852.994,5641.142,906.961,1719.836,5273.477,1255.517,5641.142,1831.69,19082.838,8492.671,639.062,5406.835,3467.1,11387.404,4425.687,1057.142,4064.995,757.972,5750.789,21319.622,12298.97,612.223,7198.362,5985.722,1801.481,5406.835,494.657
2002,16689.37,642.337,4480.089,2705.927,34871.843,12525.556,3458.749,806.169,16689.37,8508.256,1239.613,1340.372,12525.556,6155.967,2934.234,2713.535,4089.875,4497.267,1295.96,5440.389,6417.206,10015.71,5018.935,2858.681,5674.825,911.667,1728.292,5396.255,1269.089,5674.825,1855.309,19137.8,8552.643,638.168,5445.162,3489.08,11407.889,4490.406,1065.995,4107.795,760.02,5795.918,21690.325,12331.031,615.442,7286.873,6052.349,1805.414,5445.162,500.017
2003,17004.085,648.414,4503.491,2724.816,35253.159,12556.006,3484.336,818.003,17004.085,8622.793,1251.154,1363.38,12556.006,6196.638,2941.999,2723.004,4117.17,4521.042,1306.513,5496.269,6422.565,10041.152,5053.572,2868.312,5709.403,919.63,1738.643,5510.364,1279.84,5709.403,1877.574,19175.939,8601.402,638.817,5479.203,3504.892,11434.788,4528.732,1071.342,4150.297,763.729,5847.812,22030.931,12374.658,617.858,7366.977,6104.115,1812.295,5479.203,503.453
2004,17415.318,659.286,4530.729,2749.686,35574.576,12589.773,3496.094,830.803,17415.318,8769.252,1273.569,1391.802,12589.773,6233.007,2953.635,2734.373,4146.101,4552.238,1313.688,5546.935,6412.281,10055.315,5087.713,2889.01,5747.741,930.009,1749.37,5652.404,1290.121,5747.741,1903.808,19171.567,8634.561,644.705,5514.026,3525.233,11452.251,4575.013,1074.579,4210.921,770.396,5910.809,22394.023,12410.722,619.92,7475.575,6178.645,1816.438,5514.026,509.106
2005,17842.038,666.946,4569.805,2781.097,35827.943,12609.903,3506.956,845.15,17842.038,8925.922,1292.729,1428.241,12609.903,6278.616,2964.454,2745.299,4182.742,4576.628,1318.787,5592.379,6403.29,10051.137,5119.598,2905.943,5790.3,940.102,1761.497,5839.077,1298.492,5790.3,1932.274,19132.61,8651.974,646.089,5546.166,3548.597,11463.32,4631.888,1067.916,4270.15,775.493,5991.057,22778.123,12449.99,621.215,7577.105,6257.305,1820.492,5546.166,514.157
2006,18166.99,675.302,4628.981,2821.761,36021.202,12643.955,3517.46,859.268,18166.99,9155.813,1309.731,1468.669,12643.955,6332.669,2982.644,2762.931,4219.239,4302.665,1323.619,5627.367,6410.084,10036.081,5163.555,2904.978,5842.704,952.692,1772.693,6029.141,1308.389,5842.704,1962.137,19104.631,8661.679,649.422,5577.655,3594.09,11481.213,4720.423,1063.096,4357.847,783.033,6088.766,23359.58,12510.809,622.892,7673.725,6370.753,1827.912,5577.655,522.667
